name,tracks,ownerName,socials,url,description,uri
70s GLAM ROCK (greatest hits),93,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/3oSi1rUbhdQ6zMOkWShKvQ,All the greatest hits of 1970s glam rock.     Find me on instagram @richspanningtime,spotify:playlist:3oSi1rUbhdQ6zMOkWShKvQ
70s FUNK (greatest hits),101,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0O09Asc73zpJuTBZS9juns,All the greatest hits of classic 1970s funk.     Find me on instagram @richspanningtime,spotify:playlist:0O09Asc73zpJuTBZS9juns
INDIE (2000s),154,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0jM6v8ns77zLwYEjCsO9Zs,Greatest indie anthems of the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:0jM6v8ns77zLwYEjCsO9Zs
RnB 1990s (greatest hits),129,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5MaRnLBk32IMCWGXPYTA5u,Greatest RnB jams of the 1990s.  Find me on instagram @richspanningtime,spotify:playlist:5MaRnLBk32IMCWGXPYTA5u
WEDDING mix (dancefloor),98,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7DlYmDfVhuQk6o8hgZdbdk,Classic wedding dancefloor fillers.  Find me on instagram  @richspanningtime ,spotify:playlist:7DlYmDfVhuQk6o8hgZdbdk
RnB 2000s (greatest hits),111,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/3a9yodm1vqcU6JULLBeZeA,Greatest RnB jams of the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:3a9yodm1vqcU6JULLBeZeA
AMBIENT (Qigong mix),41,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/7BPDNV3KGe9Y3BrvhoIeWz,An ambient background mix for daily self-care practice.   Find me on instagram  @richspanningtime,spotify:playlist:7BPDNV3KGe9Y3BrvhoIeWz
HIP HOP (Crunk mix),117,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/4c8VMgndleZuNlLdEIrI1S,All the hip hop hits of the crunk era in the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:4c8VMgndleZuNlLdEIrI1S
MUSIC HISTORY (1954-2022),4129,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7ei54MzcOfjcew9TNYkAjt,Music history (1954-2022) order of release.  Find me on instagram  @richspanningtime ,spotify:playlist:7ei54MzcOfjcew9TNYkAjt
INDIE (2010s),118,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5oNt5wfZDQ3raw0qrGhISR,Greatest indie anthems of the 2010s.  Find me on instagram @richspanningtime,spotify:playlist:5oNt5wfZDQ3raw0qrGhISR
80s NEW WAVE (greatest hits),106,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/1bQe1mJBCSMfSPwWWWqjE7,Greatest new wave hits of the 1980s.  Find me on instagram @richspanningtime,spotify:playlist:1bQe1mJBCSMfSPwWWWqjE7
WEDDING mix (dinner),116,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/6lLmvaJr1q0dDOsJE7AGyq,All-time classic love songs.  Find me on instagram  @richspanningtime ,spotify:playlist:6lLmvaJr1q0dDOsJE7AGyq
MELLOW GOLD (old timers),111,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/3OPbUnNsbJYCKfZYj2g6uO,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:3OPbUnNsbJYCKfZYj2g6uO
MELLOW GOLD (1970s),492,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/5FTGFjQCMVxaZ93wIUxq6O,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:5FTGFjQCMVxaZ93wIUxq6O
2022 best music (so far),473,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/0Ymz0B6zhGlFoV8ZB6tFRG,"An evolving playlist, updated weekly.  Find me on instagram  @richspanningtime ",spotify:playlist:0Ymz0B6zhGlFoV8ZB6tFRG
ROCKABILLY (greatest hits),89,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/2YO9dDepWIs9rDRluIBtuz,"Classic rockabilly, mostly 1950s.  Find me on instagram @richspanningtime",spotify:playlist:2YO9dDepWIs9rDRluIBtuz
THE HITS (2000s) ,107,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/0OWnFXLdjd7HauOrmM0XjR,All the most popular hits of the era.  Find me on instagram  @richspanningtime ,spotify:playlist:0OWnFXLdjd7HauOrmM0XjR
MELLOW GOLD (jazz),96,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/1DoTPagYXaguBWMq6SH6SW,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:1DoTPagYXaguBWMq6SH6SW
